id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
1351,literature,,,,They are obsessed with reading science-fiction literature.,
1352,little,,,,What word in Russian means “little boy.”,
1353,live,,,,I live in the southern part of the city.,
1354,lively,,,,Look lively! Quit slumping and frowning.,
1355,loaf,loaves,,,How many loaves of bread do they eat daily?,
1356,location,locate,located,,Where is that firm located?,
1357,locomotive,,,,I like watching locomotives in motion.,
1358,lodge,,,,There is a very nice lodge we can stay in up in the mountains.,
1359,loiter,,,,No loitering is allowed. You are not allowed to eat in the classroom.,
1360,lonely,,,,That man is so lonely! He needs a friend or maybe a pet.,
1361,lonesome,,,,I feel lonesome today but the feeling will go away.,
1362,longshoreman,,,,The longshoreman knew he had a long day ahead of him.,
1363,look,looking,,,I like looking at her. She is so cute.,
1364,loose,,,,Yesterday I saw a loose dog running around the neighborhood. My shoes are getting loose. Could you tie the laces for me?,
1365,lose,lost,,,I’ve lost my way. I have lost my wallet a couple of times already.,
1366,love,loving,,,You are so loving and caring! I’m finally telling you to your face: I don’t love you any more.,
1367,lovely,,,,That child is so lovely. Isn’t she lovely?,
1368,luck,,,,I wish you good luck with everything!,
1369,lunatic,,,,I was never put into a lunatic asylum.,
1370,lunch,,,,I’m used to having lunch at 12 p.m. on the dot.,
1371,luxury,luxurious,,,Last week I happened to see a couple of luxurious apartments in the area.,
1372,macadam,macadamize,macadamized,,Is that a macadamized road or was it made a different way?,
1373,machine,,,,I’ve worked with bunches of different kinds of machines.,
1374,machinery,,,,The machinery must be maintained or people could get hurt.,
1375,madam,ma’am,,,"Excuse me, ma’am, may I ask you for directions?",
1376,made,make,,,All these products were made in the U.S.A.,
1377,magazine,,,,I like reading certain magazine articles but not all.,
1378,magistrate,,,,Let's give the report to the magistrate to see what he says.,
1379,magnificent,,,,What a magnificent view! How nice.,
1380,maiden,,,,What is your mother’s maiden name?,
1381,mail,,,,I need to pick up my mail. My mail needs to be picked up. I need to pick my mail up.,
1382,maintain,,,,He is trying to maintain the status-quo.,
1383,maintenance,,,,Do you want me to continue providing the same high level of maintenance?,
1384,majestic,,,,The opera house was as majestic as could be.,
1385,majesty,,,,"Your Majesty, may a present the Duke of Dornby?",
1386,majority,majorities,,,"We have gotten a majority to adopt the measure, so what's next?",
1387,minority,minorities,,,I’m in a minority here but I want to be heard.,
1388,make,makes,made,,It makes me sick and tired. It drives me crazy.,
1389,making,make,,,I like making curtains. What are they doing? They are trying to learn how to make bread.,
1390,mama,,,,Will I eventually meet your mama?,
1391,man,,,,You are my man! And I am your woman!,
1392,manage,managed,,,I managed to catch the bus on time.,
1393,manicure,manicured,,,That lady had her fingernails manicured.,
1394,manifest,manifested,,,It has manifested itself by always being on top.,
1395,manners,,,,Did you like his manners? You liked his manners? A lot.,
1396,mansion,,,,While driving around I noticed a couple of even nicer mansions.,
1397,mantel,,,,Does your fireplace have a mantel over it?,
1398,manual,,,,I got two manuals explaining how to create furniture manually.,
1399,manufacture,manufactured,manufacturer,,Those cars were manufactured by that manufacturer.,
1400,many,,,,How many times must I ask you to stop?,
1401,marble,,,,That kind of marble is very rare but is great for making tables.,
1402,maple,,,,I adore maple syrup!,
1403,march,,,,"They weren't born in March, but learned how to march anyway.",
1404,market,marketing,market-place,,Specialists in marketing tried to market their products on the Chinese market.,
1405,marriage,,,,How long has your marriage lasted? They are unhappy with their marriage.,
1406,marry,married,,,Many people marry in June.,
1407,masculine,,,,He is not very masculine looking.,
1408,match,matches,,,That shirt doesn't match that suit. The football match attracted a lot of fans.,
1409,material,materialize,materialized,,The material witness didn't show up. My plans didn't get materialized.,
1410,mathematics,,,,Mathematics can only be understood by very smart people.,
1411,matter,matters,,,It’s a public matter. It matters not. It doesn't matter. I don’t care. I could care less.,
1412,mattress,,,,I need a very hard mattress to not get a backache.,
1413,mature,matured,,,He is not very mature for his age. When will he grow up?,
1414,mausoleum,,,,"We were expecting a regular building, but it was a mausoleum!",
1415,maybe,,,,Is he listening? Maybe! It may be!,
1416,meadow,,,,My cows were peacefully eating grass on his meadow.,
1417,meaning,,,,Meaning what? What does '...' mean? What does the word “meadow” mean? What was the meaning of that word?,
1418,meant,mean,,,What did you mean by that? I meant that I liked you a lot.,
1419,meantime,,,,I’ll continue working on my project. In the meantime I advise you to continue sitting and relaxing while you can.,
1420,meanwhile,,,,I went for a walk with my dog; meanwhile my wife sat at home and read.,
1421,measles,,,,Did you have the measles when you were young?,
1422,measure,,,,Did you measure your new cabinet?,
1423,meat,,,,She doesn't like meat that much but eats mostly vegetables.,
1424,mechanic,mechanically,,,I know personally a couple of mechanics who have good reputations.,
1425,medicine,medical,medically,,Did you take your medicine? You should have medical attention as soon as possible.,
1426,medium,media,,,I would like a medium-sized hat to go with that dress.,
1427,meet,,,,"Meet Olga. Olga, meet Joe.",
1428,melody,,,,They liked the melody of the last song.,
1429,melon,,,,Don’t you like melons? Yes. I do.,
1430,member,membership,,,"I’m not a member of that society, because I haven’t renewed my membership.",
1431,memorandum,,,,They tried to read and comprehend his memorandum.,
1432,memorial,,,,She’s visited the F.D.Roosevelt memorial.,
1433,memorabilia,,,,I like collecting memorabilia from that time period.,
1434,memory,,,,Did he try to enhance his memory at all?,
1435,merchandise,,,,How much did you pay for all that merchandise?,
1436,merchant,,,,I knew personally a couple of good merchants and liked their merchandise.,
1437,mere,,,,It costs a mere $27.95 and you receive all this!,
1438,mesmerize,mesmerized,,,The audience was mesmerized by his charm.,
1439,message,,,,I got the message. Did you get the message? Are you getting my message?,
1440,messenger,,,,Would you like me to hire you as our messenger to deliver packages?,
1441,met,meet,,,Have you ever met that guy before?,
1442,meter,,,,A city person comes every month to check my gas meter.,
1443,methodically,,,,She methodically took the toaster apart. I have been trying to study his files methodically.,
1444,methodist,,,,He has been converted to the Methodist religion.,
1445,mexico,,,,Have you been to Mexico? Sure.,
1446,middle,,,,I found myself in the middle of the crowd.,
1447,midnight,,,,Let’s meet at midnight by the ferry.,
1448,midst,,,,He is always in the midst of events.,
1449,midwife,midwives,,,"Back then, midwives delivered babies.",
1450,might,,,,"Please, do not demonstrate to us your might. I might be willing to go if you are nice.",
1451,mighty,,,,I like the animated series called “The Mighty Duck.”,
1452,mile,miles,,,How many miles have you put on your car?,
1453,mileage,,,,What was the actual mileage?,
1454,military,,,,I’m not happy with our military spendings.,
1455,milk,milking,,,I adore milking cows.,
1456,miller,,,,I have no idea what that miller’s specific duties are.,
1457,millinery,,,,If he sells women's hats he's in the millinery business.,
1458,million,,,,Thanks a million! I am so hungry I feel like I could eat a million chicken fingers!,
1459,mind,,,,Mind your own business! Nevermind!,
1460,mineral,,,,The U.S. has a lot of mineral resources.,
1461,mingle,mingled,,,The smell of roses mingled with the smell of other flowers.,
1462,minimum,,,,"All she wants is to earn a minimum of $2,000 per month.",
1463,minister,,,,I personally know at least three Ministers of Music.,
1464,minus,,,,"He is a decent citizen, but he has certain minuses.",
1465,minute,,,,Wait a minute! Just a minute. Give me a minute to fix my hair.,
1466,miracle,,,,That remedy works miracles.,
1467,mirror,,,,I have never liked my reflection in the mirror.,
1468,mirth,,,,The feeling of mirth was in the air everywhere.,
1469,mischief,mischievous,,,Where is that mischievous boy?,
1470,misery,miserable,miserably,,"That person is living a miserable life, talks miserably, and will die in misery.",
1471,misfortune,,,,Was that a misfortune or was it planned that way?,
1472,mistake,mistaken,mistaking,mistook,You are mistaken that I was there that night. You made a mistake. You mistook me for Harry. You have been mistaken before. Did I make a mistake? You have been mistaken. He might have been mistaken.,
1473,mistress,,,,That lady is his mistress.,
1474,mixture,,,,I have mixed feelings about mixing the mixture like that.,
1475,mode,,,,In what mode are you going to operate the computer?,
1476,model,,,,When I grow up I want to be a super model on the cover of magazines. Professor Smith is a model speaker.,
1477,moderate,moderator,,,It’s a very moderate request.,
1478,modern,,,,Have you purchased any modern-looking clothes lately?,
1479,modest,,,,"His behavior has demonstrated that he had only modest desires. Here are your mushrooms, cooked as desired.",
1480,moist,moisture,moisturize,,"The cake was nice and moist, not dry at all.",
1481,molasses,,,,Do you have any molasses for my pancakes?,
1482,mold,,,,Let's use a gelatin mold and make a pretty dessert.,
1483,molder,,,,"After years, that beautiful column will simply molder away to nothing.",
1484,monarch,,,,Queen Isabelle was the monarch at that time.,
1485,monarchy,,,,The monarchy in Russia was abolished in 1917. The servants were shot before the Revolution.,
1486,monday,,,,"See you at the beginning of the week, probably on Monday.",
1487,money,,,,How much money does she have? Nobody knows.,
1488,monkeys,,,,In some cases monkeys are smarter than humans.,
1489,monster,,,,"We were on our way to terrorize villagers, when my monster stood up and died. If it weren't for you we would still be stuck here.",
1490,month,monthly,,,I pay all my monthly bills on time.,
1491,monument,monumental,,,I saw a huge monument of the captain.,
1492,moon,,,,This country can send people to the moon. Why wouldn't we be able to send them to the North Pole?,
1493,moral,,,,Your action was moral but maybe not ethical.,
1494,morale,,,,The morale of the entire group was beginning to be lowered.,
1495,moreover,,,,"I read your letter and liked it a lot. And, moreover, I am going to continue helping you.",
1496,morning,,,,That morning it started raining pretty early.,
1497,mortal,immortal,,,Mere mortals would not be able to understand.,
1498,mortgage,,,,Many people in America pay some kind of mortgage on a house or car or boat.,
1499,mosquito,mosquitoes,,,She hates listening to mosquitoes buzzing around.,
1500,mother,,,,Listen to your mother! She knows best.,
1501,motive,,,,I have no idea what his motive is for wanting to go with you.,
1502,motor,,,,How many different motor vehicles do you own?,
1503,motorcycle,,,,Have you ever driven a motorcycle?,
1504,mountain,,,,What is the elevation of that mountain?,
1505,mouth,,,,The mouth of the river could fit three ships side by side. My mouth is not big enough to eat the sandwich.,
1506,move,,,,Your move! Play!,
1507,movement,movements,,,You need to make only correct movements.,
1508,movie,moving picture,,,Let’s go to the movies.,
1509,much,,,,I like sugar too much to give it up!,
1510,multiply,,,,Can you now multiply it by 8?,
1511,multitude,,,,Then a multitude of angels appeared to Moses.,
1512,municipal,,,,Are you hooked up to municipal utilities?,
1513,murder,,,,The detective finally solved the mystery of the murder.,
1514,murmur,,,,There was a low murmur in the room as soon as Mrs. Blansky walked in.,
1515,muscle,,,,I like to lift weights to strengthen my muscles.,
1516,museum,,,,I love going to museums. Are there many in this town?,
1517,music,,,,Please turn the music down!,
1518,musical,,,,Her voice almost had a musical quality to it.,
1519,mustache,,,,Do you like handlebar mustaches?,
1520,mustard,,,,"I don't want mustard on my hotdog, only ketchup.",
1521,mute,,,,Push the mute button on the phone so I can talk without being overheard.,
1522,mutton,,,,Grilled mutton with green jelly is my kind of meal.,
1523,mutual,,,,Making an agreement is to our mutual benefit.,
1524,mysterious,,,,There is something mysterious about his demeanor.,
1525,mystery,,,,It is certainly a mystery to me why they couldn't come.,
1526,nail,nailed,,,I would suggest your putting at least three nails in that board to make sure it holds.,
1527,name,,,,What was our teacher's name? I can't remember.,
1528,napkin,,,,Please put your napkin in your lap.,
1529,narrative,,,,You may now read the narrative from Agatha Christie's book if you'd like.,
1530,narrow,,,,Let's cut a very narrow passageway through this rock.,
1531,nation,,,,"The nation has many problems, but not having a king and queen is not one of them.",
1532,nationality,,,,Would you know what his nationality is? From what country does he come?,
1533,native,,,,I am a native of New Hampshire so if I would run for office it would probably be there.,
1534,natural,naturally,,,The ingredients in this cake mix are all natural so the cake should be good for you.,
1535,naturalization,,,,If she doesn't have her naturalization papers I don't think we can allow her to come in.,
1536,nature,,,,What nature produces is an amazing thing.,
1537,naughty,,,,"Depending on whether you are naughty or nice, you may receive presents from Santa Claus.",
1538,near,,,,Is your apartment near any kind of bicycle repair shop?,
1539,nearly,,,,It's nearly 8:00! Where are the children?,
1540,necessary,necessarily,,,It is not necessary to use all my titles when referring to me.,
1541,neck,,,,Don't expose your neck or a vampire might bite you.,
1542,necktie,,,,Do you wear boring neckties all the time or do you have any colorful ones?,
1543,need,needy,needless,,I am in need of forty dollars. Can you help me out?,
1544,needed,,,,This new community building has been needed for a long time now.,
1545,needle,,,,I'm scared of needles but not of doctors.,
1546,neglect,neglected,neglectful,,Don't neglect to rinse the sink after you use it.,
1547,negro,,,,"We have not used the term 'Negro' in many decades; we use, 'people of color.'",
1548,neighbor,,,,"I have met most of my neighbors, but none of them have ever complained about the noise.",
1549,neighborhood,,,,I have never seen a neighborhood as friendly as yours.,
1550,neither,,,,"Neither of us have ever given blood at the bloodbank, but maybe we should.",
1551,nephew,,,,If Henry is your nephew then that means he is Sam's cousin.,
1552,nervous,nervously,,,I have never been so nervous before going on stage.,
1553,neuter,,,,You should neuter your cat so you don't end up with kittens by mistake.,
1554,neutral,,,,I'm sorry but I'm going to be staying neutral on this issue. You state your opinion alone.,
1555,never,,,,I have never said that I didn't want to join you. I just said I couldn't come quite that early.,
1556,nevertheless,,,,"She said she was happy, but nevertheless made an angry scowl.",
1557,newspaper,,,,Is that a daily newspaper or weekly?,
1558,next,,,,May I sit next to you or is this seat being saved?,
1559,nickel,,,,A nickel is five pennies but a dime is two nickels.,
1560,nicotine,,,,If they took the nicotine out of cigarettes everyone would stop smoking.,
1561,niece,,,,"I have two very beautiful nieces, daughters of my sister.",
1562,night,,,,Last night we didn't eat dinner until 11:00!,
1563,nineteen,,,,I've tried to call that place nineteen times. I guess I should try a twentieth time.,
1564,ninety,,,,My grandpa will turn ninety next month. We're going to give him a big birthday party.,
1565,ninth,,,,I'm ninth in line to get tickets. I hope they're not gone by the time I get up there.,
1566,nobody,,,,Nobody could ever say that I didn't try to explain the facts to you.,
1567,noise,,,,"If you didn't make so much noise in the mornings, I wouldn't wake up so angry.",
1568,nomination,,,,Are there any more nominations for the office of president?,
1569,none,,,,None of the non-members have ever attempted to enter without asking permission.,
1570,noon,,,,I always take my lunch break at noon.,
1571,northern,,,,"If it's a northern city then you know, of course, that they'll be more used to the bad weather.",
1572,nose,,,,My nose was broken when I as a little boy and fell out of a tree.,
1573,nostril,,,,"Don't stick anything up your nostrils, for it might get stuck.",
1574,notary,,,,We will have to find a notary public to sign this document and make it official.,
1575,notebook,,,,May I carry your notebooks to school for you?,
1576,nothing,,,,There is nothing more irritating than someone always complaining.,
1577,notify,,,,Please notify all the tenants that their rents are going up next month.,
1578,nourish,nourishment,malnourish,malnourishment,We must do something about the problem of malnourishment in our country. How can we get food to the people who really need it?,
1579,novelty,,,,"Once the novelty of having a new bike wears out, she'll go back to playing with other kids.",
1580,november,,,,"If I recall, people with November birthdays are Scorpios.",
1581,now,,,,Now and then I like to smoke a pipe even though I know it's bad for me.,
1582,nuisance,,,,Don't be such a nuisance! Calm down and just listen.,
1583,number,,,,There are a number of things I'd like you to do for me when you have a chance.,
1584,numerous,,,,The mountain ranges are too numerous to count.,
1585,nurse,,,,I will have the nurse call you to help you determine your medical problem.,
1586,o'clock,,,,Is it seven o'clock in the morning or the evening?,
1587,oar,,,,Take an oar and start paddling the canoe.,
1588,oath,,,,He took a solemn oath to never commit a crime again.,
1589,oatmeal,,,,Would you like oatmeal or eggs and bacon for breakfast?,
1590,obedience,,,,I expect complete obedience from all dogs entering our contest.,
1591,obedient,,,,I have been nothing but your obedient servant the last ten years.,
1592,obey,obeying,obeyed,,"She refused to pledge to obey her husband, only to honor him.",
1593,object,objecting,objected,,I object to your calling me by that name. Give the baby an object to play with and maybe he'll quit crying.,
1594,objection,,,,They have an objection against taxation of property even though I think they're wrong.,
1595,obligation,,,,We have an obligation to our children to find a solution to bad education.,
1596,oblige,,,,"If you could oblige me for a moment, I'd like to digress a bit on my talk.",
1597,observation,,,,It has been my observation that no one cares much for this item on the menu.,
1598,observe,observed,observing,,Why don't you observe the baboons from afar and document their movements?,
1599,obviously,,,,We obviously have a traitor in our midst so we better develop a plan to find them.,
1600,occasion,,,,On occasion I go to the movies but not that often.,
1601,occasional,,,,There are occasional passersby who jog but most just stroll.,
1602,occasionally,,,,Would you occasionally check on my cat to make sure she is okay?,
1603,occupation,,,,"Sir, what is your occupation, if I may ask?",
1604,occupy,occupies,occupied,,It is a fact of natural law that no two things can occupy the same space.,
1605,occur,,,,Did it ever occur to you that I might be interested in joining your group?,
1606,occurrence,,,,We have had one occurrence of dishonesty but nothing worth mentioning.,
1607,ocean,,,,"I love to visit the ocean, if only to sit and watch the rolling waves.",
1608,october,,,,October can be the most beautiful month of the year because all the leaves are changing colors.,
1609,oculist,,,,Maybe you should go to an oculist to see if there's a problem with your eyes.,
1610,odor,odorous,,,"The word 'odor' is usually associated with a bad smell, whereas the word 'fragrance' is usually thought of as a good smell.",
1611,offend,offended,,,I am offended that you would even ask me such a question!,
1612,offense,offensive,,,I take no offense from your statement. Please don't sound so offensive when you address the committee tomorrow.,
1613,offer,offering,offered,,I have been offered a new position with the police department so I'm contemplating accepting it.,
1614,office,,,,She works in a brand-new office on 54th Street.,
1615,official,officially,,,"Officially, you are in no position to be telling me what to do.",
1616,often,,,,I have often wondered whether the universe is expanding or not.,
1617,olive,,,,"Usually one puts an olive in a martini, right?",
1618,once,,,,Ants have only been a problem with our annual picnics once.,
1619,onion,,,,Why are you crying? I'm cutting onions.,
1620,open,opened,openness,,The package had been opened by someone before it arrived on my desk.,
1621,opera,,,,Have you ever talked to a professional opera singer in person?,
1622,operate,operating,operation,,"If you'll show me how to operate this machine, I'll get to work using it.",
1623,opinion,,,,Is it your opinion that all who want to enter must first take off their shoes?,
1624,opportunity,,,,"If you'll just give me an opportunity to work with you, you'll see how efficient I can be.",
1625,oppose,opposing,,,"I do not oppose your new look, but you sure will get some looks!",
1626,opposite,,,,What is the opposite of everything? Nothing.,
1627,opposition,,,,Our group is in opposition to all of the strategies that have been proposed so far.,
1628,oppress,oppressed,oppressive,,Do you come from a race that has felt oppressed in the past?,
1629,orange,,,,You might say that the sun is orange.,
1630,orchard,,,,My grandfather oversaw an apple orchard the size of a football field.,
1631,orchestra,,,,I played French horn in the city orchestra for fifteen years.,
1632,ordain,ordained,,,Is he an ordained minister or does he just act like he knows what's going on?,
1633,ordinance,,,,The county has now passed two new ordinances concerning agricultural land.,
1634,ordinary,ordinarily,,,"Ordinarily I wouldn't want to drive my car, but since the weather is so bad, I think I will.",
1635,organ,,,,"If you can play the piano, does that mean you can play the organ too? No it doesn't. Your feet must play a bigger role with an organ.",
1636,organization,organizational,,,To what organization do you belong?,
1637,original,,,,Would you like to order the original formula fried chicken or the extra crispy fried chicken?,
1638,originally,,,,"Originally I had wanted to go to a movie, but now I think I want to stay home.",
1639,ornament,ornamental,,,We could put ornaments on the tree to liven things up around here.,
1640,orphan,,,,Oliver was an orphan because he didn't have a mother and a father.,
1641,otherwise,,,,You could take me to the doctor's office; otherwise you could stay home with the kids.,
1642,ought,,,,We really ought to see if we can collect some firewood for a campfire later before it gets too dark.,
1643,ounce,,,,One cup consists of 8 fluid ounces.,
1644,ours,,,,Whose candy is the best tasting? Ours is the best.,
1645,outrageous,outrageously,,,"Your outfit is so outrageous, you'll probably be the hit of the party.",
1646,overalls,,,,Farmers wear overalls but you can too.,
1647,overcoat,,,,May I help you put on your overcoat? It's awfully cold out there.,
1648,overtake,overtaking,overtaken,,If we hurry we can overtake them by car.,
1649,own,owner,ownership,,Who is the owner of this parcel or land?,
1650,oyster,,,,You would not believe what I found in my oyster. A pearl!,
1651,pace,pacing,,,I can't keep pace with you. You move too fast.,
1652,package,,,,How much will it cost me to send this package that weighs about fifteen pounds?,
1653,page,,,,How many pages have you written on your book so far?,
1654,pageant,,,,The pageant includes women representing most countries of the world.,
1655,paid,pay,,,"If you've paid the bill, why don't we get going?",
1656,pail,,,,"Fetch me that pail of water over there, would you?",
1657,pain,painful,,,It's too painful for me to talk about the night of the bombing.,
1658,paint,painted,painting,,Why don't we put a fresh coat of paint on these dreary walls?,
1659,pair,,,,How many pairs of shoes do you have? More than you can count.,
1660,palace,,,,I would love to live in a palace and be treated like a queen.,
1661,pale,,,,Her face was very pale when she found out that she'd lost her job.,
1662,palm,,,,Let's move to Florida where palm trees are more in abundance.,
1663,pandemonium,,,,"As soon as the sirens went off, the place turned to pandemonium.",
1664,pantries,pantry,,,My next house will have lots of pantry space in the kitchen.,
1665,pants,,,,Should I wear pants or a dress?,
1666,papa,,,,"If your papa is always so cranky, why do you ask him anything?",
1667,paper,,,,That check is not worth the paper that it's written on!,
1668,parachute,,,,If we ride in that plane will we be wearing parachutes?,
1669,parade,,,,When I was in the band we always marched in the Thanksgiving Day Parade.,
1670,paradise,,,,Visiting you is like going to paradise; you are so hospitable.,
1671,paragraph,,,,I need to write a couple more paragraphs and then I should be finished with the chapter.,
1672,parallel,,,,"If two lines never touch in space, they might be parallel, but not necessarily. If two lines never touch on a plane, then they are parallel.",
1673,parcel,,,,Why don't I help you carry your parcels and then we can walk much faster.,
1674,pardon,,,,Pardon me sir; did you notice that your coat is in the mud?,
1675,parent,,,,Are your parents nice to your friends?,
1676,park,parking,,,Don't even think of parking your car on the grass.,
1677,parliament,,,,Is the parliament in Great Britain in session these days?,
1678,parlor,,,,"Let us proceed from the parlor to the dining room, if you please.",
1679,part,partly,parted,,"Do you like your hair parted in the middle, on the left, or on the right?",
1680,partial,partially,,,I feel partially responsible for your having to do it over again. May I help you?,
1681,particular,particularly,,,He is extremely particular about what he eats -- even more so than most vegetarians I know.,
1682,partner,,,,Would you like to be my partner for the next dance?,
1683,party,,,,Let's have a big party to celebrate the ending of the war.,
1684,passage,passageway,,,There are two passageways leading from this subway tunnel to the next.,
1685,passenger,,,,How many passengers can the bus handle?,
1686,passion,passionate,,,He was passionate with the woman until he found out she was a man.,
1687,passport,,,,Does one have to have a passport to go the Canada?,
1688,past,,,,Tell me all about your past. Are there any skeletons in the closet?,
1689,pastry,,,,My weakness is French pastry. I can't pass it up.,
1690,pasture,,,,The farmer's pasture only had cows grazing on it. What happened to the goats?,
1691,patent,patently,,,What you have said is patently false. Would you be interested in knowing the truth?,
1692,patience,,,,I am fast losing patience with your childish ways of dealing with things.,
1693,patient,,,,You can't be my patient because that would be a conflict of interest.,
1694,patriot,patriotic,,,Would you call him a patriot just because he went and fought for his country?,
1695,patron,patronage,,,I have been a patron of that establishment for 17 years. You'd think they'd treat me better.,
1696,pattern,,,,She has a pattern of bad behavior; this is not the first time.,
1697,pavement,,,,Would you like to walk on the pavement or is it too hot?,
1698,pay,paid,,,I have paid the price for my mistakes and now I want to move on.,
1699,payment,,,,I can make one payment right now but that will have to suffice.,
1700,peace,,,,"Peace, brother!",
1701,peaceful,peacefully,,,Don't you imagine that we can settle this issue in a peaceful way?,
1702,peach,,,,I'd like to order a peach schnapps.,
1703,peanut,,,,I've made us some hot boiled peanuts to take to the football game.,
1704,pear,,,,"I only eat fresh pears, never canned pears.",
1705,pearl,,,,Jackie's pearl necklace was absolutely amazing.,
1706,peasant,,,,You dress like a peasant and talk like a peasant yet you say that you are not a peasant.,
1707,peculiar,peculiarly,,,He was quite peculiar about the food that he could be served.,
1708,peddler,peddle,,,My dad used to be a peddler in the old days.,
1709,pen,,,,You must sign it with a felt tip pen.,
1710,penalty,penalties,,,Does one get a penalty for answering the question wrong?,
1711,pencil,,,,You must use a number 2 pencil if you want the computer to pick up your answers.,
1712,penicillin,,,,Who discovered penicillin? They sure were important.,
1713,penny,pennies,,,I have a piggy bank so full of pennies that no one person would be able to lift it.,
1714,pension,,,,I have a very small pension to look forward to but it sure won't be enough to live on.,
1715,people,,,,The people are so friendly in these parts of Nebraska.,
1716,pepper,,,,Are you sneezing from the pepper or from your sinuses?,
1717,perceive,perceiving,perceived,,Is it possible that he could not perceive what was going on?,
1718,percent,,,,What percent of 459 is 32.13? 7 percent.,
1719,percentage,,,,A small percentage of the population is actually looking for the truth.,
1720,perch,perched,,,Do you see that little bird perched up there on the tree?,
1721,perfect,perfected,perfectly,,"How are you? I feel perfectly fine, thank you.",
1722,perfection,perfectionist,,,Does everything really have to be done to perfection for you?,
1723,perform,performance,,,I can't imagine a more breath-taking performance.,
1724,perfume,,,,Perfume sometimes helps you get a date.,
1725,perhaps,,,,Perhaps we will go to Canada and perhaps not.,
1726,peril,perilous,,,The only thing we heard all day was the perils of Pauline. I can't take it anymore!,
1727,period,,,,Should a period go here or a semi-colon?,
1728,perish,,,,"I have to eat something or I shall perish, for sure.",
1729,permanent,permanently,,,Is that permanent ink you're using or will it rub off?,
1730,permissible,,,,Is it permissible to include controversial concepts in this newsletter?,
1731,permission,,,,I will never give you permission to live on my land until you show some responsibility.,
1732,perpetual,,,,People are always trying to create perpetual motion machines but have so far been unsuccessful.,
1733,persistence,,,,Persistence is the key! Keep trying until you succeed.,
1734,person,,,,"I'd like to make a person-to-person call, please, operator.",
1735,personally,,,,"Personally, I could never stand her, but I suppose there are some people who like her.",
1736,perspiration,perspire,,,Perspiration completely soaked his shirt during the volleyball game.,
1737,persuade,persuasion,,,"Would it be possible for me to persuade you to move to another area -- one, where you'd be more comfortable?",
1738,petition,,,,Please sign my petition to get this bill on the ballot for the upcoming election.,
1739,phenomenon,phenomenal,phenomenally,,Do you believe in the phenomenon of aliens or not?,
1740,philosophy,philosophical,philosophically,,Philosophy includes studying knowledge and humans.,
1741,phonograph,,,,Nobody says 'phonograph' anymore. Few say 'record player' also. People sometimes say 'turntable.',
1742,phrase,,,,Give me a couple phrases that don't sound so mocking.,
1743,physician,,,,Is she a physician or a doctor of philosophy?,
1744,piano,,,,He took many years of piano lessons but still doesn't play that well.,
1745,piazza,,,,We met in a piazza in Rome and it was so romantic.,
1746,pickle,,,,"Where do pickles come from? Cucumbers, of course.",
1747,picnic,,,,Why don't we make a nice picnic lunch to take to the park?,
1748,picnicking,,,,It may seem like we're always picnicking on weekends but we also go fishing.,
1749,picture,,,,Can you picture your books being published?,
1750,piece,,,,"I have a mind to give you a piece of my mind but maybe I should refrain from it. Yes, my mind's made up.",
1751,pierced,,,,Does she have pierced ears? I'll say! She has about 8 holes!,
1752,pigeon,,,,We just sat on the park bench and watched the pigeons eat crumbs.,
1753,pilgrim,,,,Pilgrims in America had a big feast with the native Americans so now we celebrate Thanksgiving.,
1754,pillar,,,,"The pillars in the fronts of buildings are usually painted white, white, white.",
1755,pillow,,,,I can't sleep with a pillow; it gives me a neck ache.,
1756,pineapple,,,,My grandmom used to make a pineapple upside-down cake and it was very tasty.,
1757,pioneer,,,,Do you feel like a pioneer of new technology?,
1758,pistol,,,,"I have excellent aim with a pistol, but you can forget about my shooting a rifle.",
1759,pitch,,,,The President threw out the first pitch to mark the start of the new baseball season.,
1760,pitcher,,,,A couple glasses of water won't be enough; we need a pitcher of water.,
1761,pitiful,,,,The little girl looked lost and pitiful and wore tattered old rags.,
1762,pitiless,,,,How can you be so pitiless? Don't you have any mercy?,
1763,pityingly,pity,,,Are you telling me you are going to pityingly enter his office in order to ask for a raise?,
1764,place,,,,It is not my place to fire her but I can talk to the department manager about the possibility.,
1765,plague,,,,"The next year, a terrible plague spread through the little town and killed everyone.",
1766,plain,,,,It's as plain as the nose on your face; the sky is blue.,
1767,plan,planned,planning,,Give me one more day to make plans for the excavation.,
1768,planned,,,,Have you planned the birthday party for Lucy yet? I can help you.,
1769,plant,,,,I used to maintain a nice window box with a few plants but I just don't have the desire anymore.,
1770,plaster,,,,What about making a plaster head of the martyr so we can display it at upcoming special services?,
1771,platform,,,,From which platform would you like to see if we can catch a glimpse of her going by?,
1772,pleasant,,,,"He was pleasant enough that day, but he isn't most days.",
1773,please,,,,"If you please, could you play that song one more time?",
1774,pleasure,,,,It has been my pleasure serving you. Please come again.,
1775,pledge,,,,Luke made a solemn pledge that he would never take another drink again.,
1776,plumber,,,,The sink's stopped up. Call a plumber.,
1777,plunge,,,,Take the plunge. Buy a cellular phone.,
1778,pneumonia,,,,"When I caught pneumonia I thought I was going to die, but unfortunately I didn't.",
1779,pocket,,,,Get your hands out of your pockets young man! Stand up straight!,
1780,poem,,,,She wrote a romantic love poem for him but he crumpled it up and threw it on the ground.,
